alpha,T,kappa,seed,projected_A_entropy,projected_B_entropy,component_A_preservation,component_B_preservation,lower_rank_erasure_score
0.4,1500,all_one_diagnostic,65,7.936321987090429,5.065279908191116,1.0,1.0,0.0
0.4,2400,center_of_mass,65,9.507060881713379,6.442136134382451,1.0,0.7522319223512665,0.12388403882436672
0.4,2400,relative_distance,65,9.507060881713379,6.442136134382451,0.9551202447056171,0.6472047163317795,0.19883751948130168
0.4,2400,joint_basin,65,9.507060881713379,6.442136134382451,1.0,0.9349264172125178,0.032536791393741105
0.4,2400,basin_transition_profile,65,9.507060881713379,6.442136134382451,1.0,1.0,0.0
0.4,2400,boundary_v2_regime_sequence,65,9.507060881713379,6.442136134382451,1.0,1.0,0.0
0.4,2400,random_kappa_matched,65,9.507060881713379,6.442136134382451,1.0,0.8272780512530646,0.08636097437346768
0.4,2400,identity_like_diagnostic,65,9.507060881713379,6.442136134382451,0.9539701653331278,0.6464254041999752,0.19980221523344843
0.4,2400,all_one_diagnostic,65,9.507060881713379,6.442136134382451,1.0,1.0,0.0
0.4,3600,center_of_mass,65,9.923519622155597,7.748314888140188,1.0,0.8066514608822436,0.09667426955887826
0.4,3600,relative_distance,65,9.923519622155597,7.748314888140188,0.9957590229429772,0.7774917323933339,0.11337462233184437
0.4,3600,joint_basin,65,9.923519622155597,7.748314888140188,1.0,0.9638626724180999,0.018068663790950068
0.4,3600,basin_transition_profile,65,9.923519622155597,7.748314888140188,1.0,1.0,0.0
0.4,3600,boundary_v2_regime_sequence,65,9.923519622155597,7.748314888140188,1.0,1.0,0.0
0.4,3600,random_kappa_matched,65,9.923519622155597,7.748314888140188,1.0,0.9969640689804036,0.0015179655097982137
0.4,3600,identity_like_diagnostic,65,9.923519622155597,7.748314888140188,0.9957590229429772,0.7774917323933339,0.11337462233184437
0.4,3600,all_one_diagnostic,65,9.923519622155597,7.748314888140188,1.0,1.0,0.0
0.4,900,center_of_mass,64,5.981791588116061,3.765980808898084,1.0,0.7138573875897488,0.14307130620512565
0.4,900,relative_distance,64,5.981791588116061,3.765980808898084,0.7163539814935116,0.45099788365110033,0.416324067427694
0.4,900,joint_basin,64,5.981791588116061,3.765980808898084,1.0,1.0,0.0
0.4,900,basin_transition_profile,64,5.981791588116061,3.765980808898084,1.0,1.0,0.0
0.4,900,boundary_v2_regime_sequence,64,5.981791588116061,3.765980808898084,1.0,1.0,0.0
0.4,900,random_kappa_matched,64,5.981791588116061,3.765980808898084,0.7956149275959357,0.5008985191914376,0.3517432766063133
0.4,900,identity_like_diagnostic,64,5.981791588116061,3.765980808898084,0.6005277027122409,0.37807666320555083,0.5106978170411042
0.4,900,all_one_diagnostic,64,5.981791588116061,3.765980808898084,1.0,1.0,0.0
0.4,1500,center_of_mass,64,7.936572908420726,5.066520864909554,1.0,0.7359838443942259,0.13200807780288704
0.4,1500,relative_distance,64,7.936572908420726,5.066520864909554,0.8240238941706984,0.5260374094932397,0.3249693481680309
0.4,1500,joint_basin,64,7.936572908420726,5.066520864909554,1.0,1.0,0.0
0.4,1500,basin_transition_profile,64,7.936572908420726,5.066520864909554,1.0,1.0,0.0
0.4,1500,boundary_v2_regime_sequence,64,7.936572908420726,5.066520864909554,1.0,1.0,0.0
0.4,1500,random_kappa_matched,64,7.936572908420726,5.066520864909554,1.0,0.6502595966743419,0.17487020166282907
0.4,1500,identity_like_diagnostic,64,7.936572908420726,5.066520864909554,0.7966130434533288,0.5085389692108951,0.347423993667888
0.4,1500,all_one_diagnostic,64,7.936572908420726,5.066520864909554,1.0,1.0,0.0
0.4,2400,center_of_mass,64,9.514169661946925,6.612977738063503,1.0,0.7691825736386391,0.11540871318068047
0.4,2400,relative_distance,64,9.514169661946925,6.612977738063503,0.9563067587692758,0.664696503342234,0.1894983689442451
0.4,2400,joint_basin,64,9.514169661946925,6.612977738063503,1.0,0.9689943723169775,0.015502813841511198
0.4,2400,basin_transition_profile,64,9.514169661946925,6.612977738063503,1.0,1.0,0.0
0.4,2400,boundary_v2_regime_sequence,64,9.514169661946925,6.612977738063503,1.0,1.0,0.0
0.4,2400,random_kappa_matched,64,9.514169661946925,6.612977738063503,1.0,0.8498474632727593,0.07507626836362036
0.4,2400,identity_like_diagnostic,64,9.514169661946925,6.612977738063503,0.9549602501973377,0.6637605907479954,0.19063957952733346
0.4,2400,all_one_diagnostic,64,9.514169661946925,6.612977738063503,1.0,1.0,0.0
0.4,3600,center_of_mass,64,9.91404341264972,7.982201867667838,1.0,0.829717579038615,0.08514121048069256
0.4,3600,relative_distance,64,9.91404341264972,7.982201867667838,0.99509654696171,0.8011929325962717,0.10185526022100921
0.4,3600,joint_basin,64,9.91404341264972,7.982201867667838,1.0,1.0,0.0
0.4,3600,basin_transition_profile,64,9.91404341264972,7.982201867667838,1.0,1.0,0.0
0.4,3600,boundary_v2_regime_sequence,64,9.91404341264972,7.982201867667838,1.0,1.0,0.0
0.4,3600,random_kappa_matched,64,9.91404341264972,7.982201867667838,1.0,1.0,0.0
0.4,3600,identity_like_diagnostic,64,9.91404341264972,7.982201867667838,0.99509654696171,0.8011929325962717,0.10185526022100921
0.4,3600,all_one_diagnostic,64,9.91404341264972,7.982201867667838,1.0,1.0,0.0
0.4,900,center_of_mass,62,6.051736711948081,3.6399981914535573,1.0,0.6841328516277264,0.15793357418613674
0.4,900,relative_distance,62,6.051736711948081,3.6399981914535573,0.721830985603373,0.43416685278854844,0.4220010808040393
0.4,900,joint_basin,62,6.051736711948081,3.6399981914535573,1.0,1.0,0.0
0.4,900,basin_transition_profile,62,6.051736711948081,3.6399981914535573,1.0,1.0,0.0
0.4,900,boundary_v2_regime_sequence,62,6.051736711948081,3.6399981914535573,1.0,1.0,0.0
0.4,900,random_kappa_matched,62,6.051736711948081,3.6399981914535573,0.8021668882721881,0.4824872861355477,0.3576729127961321
0.4,900,identity_like_diagnostic,62,6.051736711948081,3.6399981914535573,0.607427469754385,0.36535543375174856,0.5136085482469332
0.4,900,all_one_diagnostic,62,6.051736711948081,3.6399981914535573,1.0,1.0,0.0
0.4,1500,center_of_mass,62,7.9696068782436384,4.880802886054089,1.0,0.7056660490742951,0.1471669754628524
0.4,1500,relative_distance,62,7.9696068782436384,4.880802886054089,0.8257178749104293,0.5056919680607195,0.33429507851442564
0.4,1500,joint_basin,62,7.9696068782436384,4.880802886054089,1.0,1.0,0.0
0.4,1500,basin_transition_profile,62,7.9696068782436384,4.880802886054089,1.0,1.0,0.0
0.4,1500,boundary_v2_regime_sequence,62,7.9696068782436384,4.880802886054089,1.0,1.0,0.0
0.4,1500,random_kappa_matched,62,7.9696068782436384,4.880802886054089,1.0,0.6279573577670359,0.18602132111648206
0.4,1500,identity_like_diagnostic,62,7.9696068782436384,4.880802886054089,0.7999287430054687,0.48989800590504773,0.3550866255447418
0.4,1500,all_one_diagnostic,62,7.9696068782436384,4.880802886054089,1.0,1.0,0.0
0.4,2400,center_of_mass,62,9.532417792974243,6.310815827375925,1.0,0.7275865737398829,0.1362067131300586
0.4,2400,relative_distance,62,9.532417792974243,6.310815827375925,0.9580208127660599,0.6342454809959812,0.20386685311897945
0.4,2400,joint_basin,62,9.532417792974243,6.310815827375925,1.0,0.9169006082138484,0.04154969589307578
0.4,2400,basin_transition_profile,62,9.532417792974243,6.310815827375925,1.0,1.0,0.0
0.4,2400,boundary_v2_regime_sequence,62,9.532417792974243,6.310815827375925,1.0,1.0,0.0
0.4,2400,random_kappa_matched,62,9.532417792974243,6.310815827375925,1.0,0.8108184272395855,0.09459078638020724
0.4,2400,identity_like_diagnostic,62,9.532417792974243,6.310815827375925,0.9567918593015121,0.6334318680025502,0.20488813634796887
0.4,2400,all_one_diagnostic,62,9.532417792974243,6.310815827375925,1.0,1.0,0.0
0.4,3600,center_of_mass,62,9.919299036395046,7.687758839619063,1.0,0.7989444022493455,0.10052779887532726
0.4,3600,relative_distance,62,9.919299036395046,7.687758839619063,0.9956240666449939,0.7716389727947202,0.11636848028014302
0.4,3600,joint_basin,62,9.919299036395046,7.687758839619063,1.0,0.9650238241795888,0.01748808791020562
0.4,3600,basin_transition_profile,62,9.919299036395046,7.687758839619063,1.0,1.0,0.0
