alpha,T,kappa,seed,p_viable_product,H_cond_product,H_weighted_product,H_recovery_product,component_estimator_note
0.4,900,relative_distance,1,1.0,9.067212986785487,9.067212986785487,9.067066890579142,H_A+H_B from basin/geometric component projections
0.4,900,joint_basin,1,1.0,9.067212986785487,9.067212986785487,9.067066890579142,H_A+H_B from basin/geometric component projections
0.4,900,basin_transition_profile,1,1.0,9.067212986785487,9.067212986785487,9.067066890579142,H_A+H_B from basin/geometric component projections
0.4,900,boundary_v2_regime_sequence,1,1.0,9.067212986785487,9.067212986785487,9.067066890579142,H_A+H_B from basin/geometric component projections
0.4,900,random_kappa_matched,1,1.0,9.067212986785487,9.067212986785487,9.067066890579142,H_A+H_B from basin/geometric component projections
0.4,900,identity_like_diagnostic,1,1.0,9.067212986785487,9.067212986785487,9.067066890579142,H_A+H_B from basin/geometric component projections
0.4,900,all_one_diagnostic,1,1.0,9.067212986785487,9.067212986785487,9.067066890579142,H_A+H_B from basin/geometric component projections
0.4,1500,center_of_mass,1,1.0,11.77129617004761,11.77129617004761,11.77129617004761,H_A+H_B from basin/geometric component projections
0.4,1500,relative_distance,1,1.0,11.77129617004761,11.77129617004761,11.77129617004761,H_A+H_B from basin/geometric component projections
0.4,1500,joint_basin,1,1.0,11.77129617004761,11.77129617004761,11.77129617004761,H_A+H_B from basin/geometric component projections
0.4,1500,basin_transition_profile,1,1.0,11.77129617004761,11.77129617004761,11.77129617004761,H_A+H_B from basin/geometric component projections
0.4,1500,boundary_v2_regime_sequence,1,1.0,11.77129617004761,11.77129617004761,11.77129617004761,H_A+H_B from basin/geometric component projections
0.4,1500,random_kappa_matched,1,1.0,11.77129617004761,11.77129617004761,11.77129617004761,H_A+H_B from basin/geometric component projections
0.4,1500,identity_like_diagnostic,1,1.0,11.77129617004761,11.77129617004761,11.77129617004761,H_A+H_B from basin/geometric component projections
0.4,1500,all_one_diagnostic,1,1.0,11.77129617004761,11.77129617004761,11.77129617004761,H_A+H_B from basin/geometric component projections
0.4,2400,center_of_mass,1,1.0,14.66455410856277,14.66455410856277,14.66455410856277,H_A+H_B from basin/geometric component projections
0.4,2400,relative_distance,1,1.0,14.66455410856277,14.66455410856277,14.66455410856277,H_A+H_B from basin/geometric component projections
0.4,2400,joint_basin,1,1.0,14.66455410856277,14.66455410856277,14.66455410856277,H_A+H_B from basin/geometric component projections
0.4,2400,basin_transition_profile,1,1.0,14.66455410856277,14.66455410856277,14.66455410856277,H_A+H_B from basin/geometric component projections
0.4,2400,boundary_v2_regime_sequence,1,1.0,14.66455410856277,14.66455410856277,14.66455410856277,H_A+H_B from basin/geometric component projections
0.4,2400,random_kappa_matched,1,1.0,14.66455410856277,14.66455410856277,14.66455410856277,H_A+H_B from basin/geometric component projections
0.4,2400,identity_like_diagnostic,1,1.0,14.66455410856277,14.66455410856277,14.66455410856277,H_A+H_B from basin/geometric component projections
0.4,2400,all_one_diagnostic,1,1.0,14.66455410856277,14.66455410856277,14.66455410856277,H_A+H_B from basin/geometric component projections
0.4,3600,center_of_mass,1,1.0,17.103828025451115,17.103828025451115,17.103828025451115,H_A+H_B from basin/geometric component projections
0.4,3600,relative_distance,1,1.0,17.103828025451115,17.103828025451115,17.103828025451115,H_A+H_B from basin/geometric component projections
0.4,3600,joint_basin,1,1.0,17.103828025451115,17.103828025451115,17.103828025451115,H_A+H_B from basin/geometric component projections
0.4,3600,basin_transition_profile,1,1.0,17.103828025451115,17.103828025451115,17.103828025451115,H_A+H_B from basin/geometric component projections
0.4,3600,boundary_v2_regime_sequence,1,1.0,17.103828025451115,17.103828025451115,17.103828025451115,H_A+H_B from basin/geometric component projections
0.4,3600,random_kappa_matched,1,1.0,17.103828025451115,17.103828025451115,17.103828025451115,H_A+H_B from basin/geometric component projections
0.4,3600,identity_like_diagnostic,1,1.0,17.103828025451115,17.103828025451115,17.103828025451115,H_A+H_B from basin/geometric component projections
0.4,3600,all_one_diagnostic,1,1.0,17.103828025451115,17.103828025451115,17.103828025451115,H_A+H_B from basin/geometric component projections
0.4,900,center_of_mass,9,0.999,8.86059400435435,8.851733410349997,8.866436841040034,H_A+H_B from basin/geometric component projections
0.4,900,relative_distance,9,0.999,8.86059400435435,8.851733410349997,8.866436841040034,H_A+H_B from basin/geometric component projections
0.4,900,joint_basin,9,0.999,8.86059400435435,8.851733410349997,8.866436841040034,H_A+H_B from basin/geometric component projections
0.4,900,basin_transition_profile,9,0.999,8.86059400435435,8.851733410349997,8.866436841040034,H_A+H_B from basin/geometric component projections
0.4,900,boundary_v2_regime_sequence,9,0.999,8.86059400435435,8.851733410349997,8.866436841040034,H_A+H_B from basin/geometric component projections
0.4,900,random_kappa_matched,9,0.999,8.86059400435435,8.851733410349997,8.866436841040034,H_A+H_B from basin/geometric component projections
0.4,900,identity_like_diagnostic,9,0.999,8.86059400435435,8.851733410349997,8.866436841040034,H_A+H_B from basin/geometric component projections
0.4,900,all_one_diagnostic,9,0.999,8.86059400435435,8.851733410349997,8.866436841040034,H_A+H_B from basin/geometric component projections
0.4,1500,center_of_mass,9,0.999,11.615145529106385,11.60353038357728,11.619556618842209,H_A+H_B from basin/geometric component projections
