point_id,T,seed,relation_lineage,self_only_lineage,independent_lineage_baseline,relation_lineage_excess
phase_003,100,25,0.5580018248175184,0.5557071167883212,0.555883211678832,0.0021186131386863
phase_003,100,24,0.5632601351351351,0.5609333853083853,0.5610828135828136,0.0021773215523214
phase_003,100,26,0.560162636239782,0.5581888623978202,0.5583919448228882,0.0017706914168937
phase_003,100,29,0.5612035739313245,0.5589882620882971,0.5592690084092502,0.0019345655220742
phase_003,100,27,0.5595621339677891,0.5571623352855051,0.5574771229868228,0.0020850109809662
phase_003,100,28,0.5566220522625875,0.5547223550031868,0.5548633683875079,0.0017586838750796
phase_004,50,6,0.4663470619097586,0.4646012591815319,0.4646637810423225,0.0016832808674361
phase_004,50,7,0.4676071922544952,0.4657684993084371,0.4658095608575381,0.0017976313969571
phase_004,50,8,0.4651249114103473,0.4633903260099219,0.4635196669029058,0.0016052445074414
phase_004,50,9,0.4640664280726257,0.4624153282122905,0.4624611557262569,0.0016052723463687
phase_004,50,10,0.4667151366503153,0.4650166433076383,0.4653254204625087,0.0013897161878065
phase_004,50,12,0.4678811029153495,0.4660050052687039,0.4663386898489638,0.0015424130663856
phase_004,50,11,0.4682919145957298,0.4666800840042002,0.4669246587329367,0.0013672558627931
phase_004,50,14,0.4680340869260428,0.4662088152821592,0.4662776025236593,0.0017564844023835
phase_004,50,13,0.4665561403508772,0.4647771929824562,0.4650035087719298,0.0015526315789474
phase_004,50,15,0.4645639229422066,0.46275,0.4629754816112084,0.0015884413309981
phase_004,50,16,0.4673140350877193,0.4654434210526315,0.465784649122807,0.0015293859649123
phase_004,50,17,0.4654670522257273,0.463786803364879,0.4638985278654048,0.0015685243603224
phase_004,50,18,0.4645189619014331,0.4626974833974134,0.4629307934288709,0.0015881684725621
phase_004,50,19,0.4674714511595221,0.4658283555867884,0.4662183766690091,0.0012530744905129
phase_004,50,20,0.4644897959183673,0.462637227304715,0.4626851688951443,0.001804627023223
phase_004,50,21,0.4662036875218455,0.464452114645229,0.464860188745194,0.0013434987766515
phase_004,50,22,0.464902081863091,0.4631633733239237,0.4631920430486944,0.0017100388143966
phase_004,50,23,0.4689630632203982,0.4670725637443242,0.4674423681453021,0.0015206950750961
phase_004,50,24,0.4644350208768267,0.4625139178844816,0.4625687195546277,0.001866301322199
phase_004,50,25,0.4675754946199237,0.465820461645262,0.4659792606733773,0.0015962339465463
phase_004,50,26,0.4667064533053515,0.4648168065757258,0.4652439664218258,0.0014624868835257
phase_004,50,28,0.4640437587168759,0.4621125348675035,0.4621674511854951,0.0018763075313807
phase_004,50,29,0.4665196078431372,0.4648494397759104,0.4651361169467787,0.0013834908963585
