point_id,T,seed,recoverable_alternative_count,branching_after_closure,post_perturbation_continuation_rate
phase_006,100,11,185.0,0.9991426818305932,0.0
phase_006,100,14,142.0,0.9998593355281308,0.0
phase_006,100,13,181.0,0.9996872526759488,0.0
phase_006,100,15,158.0,0.9991620889342788,0.0
phase_006,100,16,158.0,0.9975325392836258,0.0
phase_006,100,17,166.0,0.999624773984994,0.0
phase_006,100,19,163.0,0.9991289510969348,0.0
phase_006,100,18,162.0,0.9976034383218276,0.0
phase_006,100,20,147.0,0.9995760821200464,0.0
phase_006,100,21,176.0,0.9981682883847476,0.0
phase_006,100,22,218.0,0.9994054798987054,0.0
phase_007,50,0,2620.0,0.999980950124312,0.0
phase_007,50,1,2635.0,0.9999640593952656,0.0
phase_007,50,2,2605.0,0.9998937631961788,0.0
phase_007,50,3,2629.0,0.9999147210878806,0.0
phase_007,50,4,2617.0,0.9999562097335982,0.0
phase_007,50,5,2626.0,0.9999259194350248,0.0
phase_006,100,23,193.0,0.9962621229055002,0.0
phase_006,100,24,123.0,0.9972024477744073,0.0
phase_006,100,26,201.0,0.9992947021103968,0.0
phase_006,100,25,152.0,0.9990961900976132,0.0
phase_006,100,27,188.0,0.99866197642203,0.0
phase_006,100,28,164.0,0.9976903788538564,0.0
phase_006,100,29,176.0,0.9990924426121768,0.0
phase_007,50,7,2607.0,0.9999787712133504,0.0
phase_007,50,6,2641.0,0.9999987895012163,0.0
phase_007,50,8,2595.0,0.999992361646478,0.0
phase_007,50,9,2665.0,0.9999251805727551,0.0
phase_007,50,10,2630.0,0.999985914196712,0.0
phase_007,50,11,2629.0,0.999997523176515,0.0
phase_007,50,12,2597.0,0.9999810099121416,0.0
phase_007,50,14,2593.0,0.9999711124327336,0.0
phase_007,50,13,2643.0,0.9999759196283596,0.0
phase_007,50,15,2644.0,0.9999564926413445,0.0
phase_007,50,16,2686.0,0.9999559934253064,0.0
phase_007,50,17,2606.0,0.9999632007855356,0.0
phase_007,50,18,2656.0,0.9999681426783912,0.0
