point_id,T,seed,p_viable,survival_depth,collapse_rate
phase_007,100,5,0.7596666666666667,0.7596666666666667,0.0
phase_007,100,6,0.7506666666666667,0.7506666666666667,0.0
phase_007,100,7,0.75,0.75,0.0
phase_007,100,8,0.7426666666666667,0.7426666666666667,0.0
phase_007,100,9,0.7693333333333333,0.7693333333333333,0.0
phase_007,100,10,0.7803333333333333,0.7803333333333333,0.0
phase_007,100,11,0.7396666666666667,0.7396666666666667,0.0
phase_007,100,13,0.7513333333333333,0.7513333333333333,0.0
phase_007,100,12,0.7663333333333333,0.7663333333333333,0.0
phase_007,100,14,0.7536666666666667,0.7536666666666667,0.0
phase_007,100,15,0.76,0.76,0.0
phase_007,100,16,0.7456666666666667,0.7456666666666667,0.0
phase_007,100,17,0.7726666666666666,0.7726666666666666,0.0
phase_008,50,0,0.6123333333333333,0.6123333333333333,0.0
phase_008,50,2,0.628,0.628,0.0016666666666667
phase_008,50,1,0.6656666666666666,0.6656666666666666,0.0003333333333332
phase_008,50,3,0.5873333333333334,0.5873333333333334,0.0003333333333332
phase_008,50,4,0.6583333333333333,0.6583333333333333,0.0006666666666667
phase_007,100,18,0.7636666666666667,0.7636666666666667,0.0
phase_007,100,19,0.7636666666666667,0.7636666666666667,0.0
phase_008,50,5,0.6263333333333333,0.6263333333333333,0.0006666666666667
phase_007,100,20,0.754,0.754,0.0
phase_007,100,22,0.7786666666666666,0.7786666666666666,0.0
phase_007,100,21,0.773,0.773,0.0
phase_007,100,23,0.7526666666666667,0.7526666666666667,0.0
phase_007,100,24,0.743,0.743,0.0
phase_007,100,25,0.75,0.75,0.0
phase_007,100,26,0.7746666666666666,0.7746666666666666,0.0
phase_007,100,27,0.742,0.742,0.0
phase_007,100,29,0.7676666666666667,0.7676666666666667,0.0
phase_007,100,28,0.7736666666666666,0.7736666666666666,0.0
phase_008,50,6,0.5593333333333333,0.5593333333333333,0.0006666666666667
phase_008,50,7,0.6076666666666667,0.6076666666666667,0.0016666666666667
phase_008,50,8,0.5953333333333334,0.5953333333333334,0.001
phase_008,50,9,0.632,0.632,0.001
