coarse_name,irreversibility_sensitivity,normalized_sensitivity,omega_irrev,omega_rev,pair_id
behavioral_quotient_k13,0.000983730978852848,0.0012670390304384484,0.7754177493389525,0.7764014803178053,8
behavioral_quotient_k21,-0.004115473559763494,-0.0050053842268302255,0.8263247932166706,0.8222093196569071,8
best_of_10_hashes_per_world,0.007882939764573216,0.008768208189638273,0.8911536243864453,0.8990365641510185,8
identity,0.0,0.0,1.0,1.0,11
all_one,0.007882939764573216,0.008768208189638273,0.8911536243864453,0.8990365641510185,11
random_k,0.03845016313140637,0.05051448615196039,0.7227208604783066,0.761171023609713,11
checkerboard,0.007921125012969044,0.0088098611068039,0.8911991808510495,0.8991203058640186,11
region,0.002686571567372731,0.003466954069512399,0.7722217524274061,0.7749083239947788,11
viability_signature,0.00018043172732906676,0.00019987922819871348,0.9025233107030117,0.9027037424303408,11
hash_k34_s1206,0.0062894790268455125,0.006840833926323829,0.9131129059138736,0.9194023849407191,11
trap_mixing_adversarial,0.003253078890490091,0.0035723972137559484,0.9073620335510145,0.9106151124415046,11
behavioral_quotient_k5,-0.0013983830725297075,-0.0014429405677364386,0.9705187361882307,0.969120353115701,11
behavioral_quotient_k8,0.004304520714739746,0.005913233315744024,0.723642523633896,0.7279470443486358,11
behavioral_quotient_k13,-0.0037204269034157855,-0.0049295776614023505,0.7584355686377708,0.754715141734355,11
behavioral_quotient_k21,0.005878149404552224,0.0070209675661950235,0.8313496755543168,0.837227824958869,11
best_of_10_hashes_per_world,0.007882939764573216,0.008768208189638273,0.8911536243864453,0.8990365641510185,11
identity,0.0,0.0,1.0,1.0,14
all_one,0.007882939764573216,0.008768208189638273,0.8911536243864453,0.8990365641510185,14
random_k,0.039506501873060484,0.05074616140721764,0.7390056215570571,0.7785121234301176,14
checkerboard,0.007921125012969044,0.0088098611068039,0.8911991808510495,0.8991203058640186,14
region,0.002686571567372731,0.003466954069512399,0.7722217524274061,0.7749083239947788,14
