alpha,T,kappa,metric,mean,std,se,ci_low,ci_high,ci_excludes_zero,n_seeds
0.45,900,center_of_mass,lower_rank_erasure_score,0.1007806651063315,0.0021889557125129287,0.0001730521437194398,0.10043192184623698,0.10110239914731294,True,160
0.45,900,joint_basin,Delta_depth_vs_shuffled,-0.009477874203697218,0.0020390393898710095,0.0001612002177698114,-0.00980223698006802,-0.009182374079576502,True,160
0.45,900,joint_basin,Delta_depth_vs_product,-0.009533529970823833,0.0019246258308843376,0.00015215503172971365,-0.009821191768952069,-0.009232714307840947,True,160
0.45,900,joint_basin,Delta_viable_propagation_vs_shuffled,-0.05732584572574591,0.055847645515064895,0.004415144044632312,-0.06565490983396025,-0.04879820131199312,True,160
0.45,900,joint_basin,Delta_viable_propagation_vs_product,-0.060978817607394764,0.05498343723917624,0.0043468223815179285,-0.06930581798258102,-0.05201846433081273,True,160
0.45,900,joint_basin,Delta_breadth_vs_product,0.24880756595213116,0.0029573675375912135,0.0002338004324257966,0.24833156186458147,0.24926030788261389,True,160
0.45,900,joint_basin,certified_transport_density_advantage,-0.01273077051979595,0.043728495804409254,0.0034570411348762518,-0.01928062179673026,-0.005801245717723753,True,160
0.45,900,joint_basin,component_B_preservation,1.0,0.0,0.0,1.0,1.0,True,160
0.45,900,joint_basin,lower_rank_erasure_score,0.0,0.0,0.0,0.0,0.0,False,160
0.45,1500,basin_transition_profile,Delta_depth_vs_shuffled,-0.03457858947252825,0.003431937593458166,0.0002713184895721197,-0.035098546959341496,-0.03407343964684586,True,160
0.45,1500,basin_transition_profile,Delta_depth_vs_product,-0.03453324133745353,0.0032097669946215004,0.0002537543615359342,-0.035006941509482255,-0.034040535587657815,True,160
0.45,1500,basin_transition_profile,Delta_viable_propagation_vs_shuffled,-0.07566936384989177,0.05895278678431501,0.0046606270163177255,-0.08514067319738883,-0.06633842335135347,True,160
0.45,1500,basin_transition_profile,Delta_viable_propagation_vs_product,-0.08030628649516333,0.058911120140932596,0.004657332978929165,-0.08972236973107417,-0.07067238118893991,True,160
0.45,1500,basin_transition_profile,Delta_breadth_vs_product,0.37086690063622607,0.002847510768519876,0.0002251154922594824,0.3704329691384684,0.37128082998898165,True,160
0.45,1500,basin_transition_profile,certified_transport_density_advantage,0.08014838432537216,0.025554750088495358,0.0020202803829008696,0.076375753433104,0.08402991592272274,True,160
0.45,1500,basin_transition_profile,component_B_preservation,0.999557447086481,0.0013685739053167954,0.00010819526717681742,0.9993403122362187,0.9997669559500595,True,160
0.45,1500,basin_transition_profile,lower_rank_erasure_score,0.00022127645675955703,0.0006842869526583887,5.4097633588408e-05,0.00011791629635644995,0.00033043968323922607,True,160
0.45,1500,boundary_v2_regime_sequence,Delta_depth_vs_shuffled,-0.0001932978391353722,0.0016452811831839356,0.00013007089825694897,-0.00045624627481435226,5.6404894110983396e-05,False,160
0.45,1500,boundary_v2_regime_sequence,Delta_depth_vs_product,-0.00024753606588601845,0.0016857605077656647,0.00013327106985253662,-0.0005115383871505752,-3.463008764709555e-06,True,160
