candidate_C,compression_ratio,condition,family,label_entropy,macro_recoverability_mixing_rate,macro_viability_mixing_rate,mean_fiber_size,num_macro_labels,num_micro_states,pair_id,singleton_fraction,trap_mixing_rate,world_id,world_seed
predictive_quotient_k8,0.014109347442680775,reversible,A,1.5222644772368767,0.125,0.25,70.875,8,567,4,0.0,0.25,A_4_reversible,4
identity,1.0,reversible,A,6.340359303727763,0.0,0.0,1.0,567,567,10,1.0,0.0,A_10_reversible,10
all_one,0.001763668430335097,reversible,A,0.0,1.0,1.0,567.0,1,567,10,0.0,1.0,A_10_reversible,10
random_k,0.02292768959435626,reversible,A,2.5578379183148203,1.0,1.0,43.61538461538461,13,567,10,0.0,1.0,A_10_reversible,10
hash_k34_s1206,0.059964726631393295,reversible,A,3.5234439856557835,1.0,1.0,16.676470588235293,34,567,10,0.0,1.0,A_10_reversible,10
trap_mixing_adversarial,0.007054673721340388,reversible,A,0.9232763374623556,1.0,1.0,141.75,4,567,10,0.0,0.5,A_10_reversible,10
best_of_10_hashes_per_world,0.09700176366843033,reversible,A,3.9542328935086193,0.8,0.8181818181818182,10.309090909090909,55,567,10,0.0,0.8545454545454545,A_10_reversible,10
viability_signature,0.026455026455026454,reversible,A,1.938028052707846,0.0,0.13333333333333333,37.8,15,567,10,0.0,0.13333333333333333,A_10_reversible,10
behavioral_quotient_k5,0.008818342151675485,reversible,A,1.1757023550093335,0.2,0.4,113.4,5,567,10,0.0,0.2,A_10_reversible,10
predictive_quotient_k5,0.008818342151675485,reversible,A,1.1499790548404454,0.2,0.4,113.4,5,567,10,0.0,0.4,A_10_reversible,10
predictive_quotient_k8,0.014109347442680775,reversible,A,1.6802665189158252,0.125,0.375,70.875,8,567,10,0.0,0.375,A_10_reversible,10
identity,1.0,reversible,A,6.340359303727763,0.0,0.0,1.0,567,567,8,1.0,0.0,A_8_reversible,8
all_one,0.001763668430335097,reversible,A,0.0,1.0,1.0,567.0,1,567,8,0.0,1.0,A_8_reversible,8
random_k,0.02292768959435626,reversible,A,2.5521292355599585,1.0,1.0,43.61538461538461,13,567,8,0.0,1.0,A_8_reversible,8
hash_k34_s1206,0.059964726631393295,reversible,A,3.5234439856557835,1.0,1.0,16.676470588235293,34,567,8,0.0,1.0,A_8_reversible,8
trap_mixing_adversarial,0.007054673721340388,reversible,A,0.9232763374623556,1.0,1.0,141.75,4,567,8,0.0,0.5,A_8_reversible,8
best_of_10_hashes_per_world,0.037037037037037035,reversible,A,3.034858863190147,1.0,1.0,27.0,21,567,8,0.0,1.0,A_8_reversible,8
viability_signature,0.026455026455026454,reversible,A,2.1050429592381756,0.0,0.13333333333333333,37.8,15,567,8,0.0,0.13333333333333333,A_8_reversible,8
behavioral_quotient_k5,0.008818342151675485,reversible,A,1.2330103667157903,0.2,0.4,113.4,5,567,8,0.0,0.2,A_8_reversible,8
predictive_quotient_k5,0.008818342151675485,reversible,A,1.1985496677443017,0.4,0.4,113.4,5,567,8,0.0,0.2,A_8_reversible,8
predictive_quotient_k8,0.014109347442680775,reversible,A,1.6080537561458699,0.125,0.25,70.875,8,567,8,0.0,0.125,A_8_reversible,8
identity,1.0,irreversible,A,6.340359303727763,0.0,0.0,1.0,567,567,10,1.0,0.0,A_10_irreversible,10
all_one,0.001763668430335097,irreversible,A,0.0,1.0,1.0,567.0,1,567,10,0.0,1.0,A_10_irreversible,10
random_k,0.02292768959435626,irreversible,A,2.5578379183148203,1.0,1.0,43.61538461538461,13,567,10,0.0,1.0,A_10_irreversible,10
hash_k34_s1206,0.059964726631393295,irreversible,A,3.5234439856557835,1.0,1.0,16.676470588235293,34,567,10,0.0,1.0,A_10_irreversible,10
trap_mixing_adversarial,0.007054673721340388,irreversible,A,0.8826593053094995,0.75,0.75,141.75,4,567,10,0.0,0.5,A_10_irreversible,10
best_of_10_hashes_per_world,0.003527336860670194,irreversible,A,0.6902687360898898,1.0,1.0,283.5,2,567,10,0.0,1.0,A_10_irreversible,10
viability_signature,0.024691358024691357,irreversible,A,1.9072185304552784,0.0,0.14285714285714285,40.5,14,567,10,0.0,0.21428571428571427,A_10_irreversible,10
behavioral_quotient_k5,0.008818342151675485,irreversible,A,1.1008491518100327,0.2,0.2,113.4,5,567,10,0.0,0.2,A_10_irreversible,10
predictive_quotient_k5,0.008818342151675485,irreversible,A,1.0972770891639834,0.2,0.2,113.4,5,567,10,0.0,0.4,A_10_irreversible,10
predictive_quotient_k8,0.014109347442680775,irreversible,A,1.5158761067694129,0.125,0.125,70.875,8,567,10,0.0,0.125,A_10_irreversible,10
identity,1.0,irreversible,A,6.340359303727763,0.0,0.0,1.0,567,567,9,1.0,0.0,A_9_irreversible,9
all_one,0.001763668430335097,irreversible,A,0.0,1.0,1.0,567.0,1,567,9,0.0,1.0,A_9_irreversible,9
random_k,0.02292768959435626,irreversible,A,2.554671063245486,1.0,1.0,43.61538461538461,13,567,9,0.0,1.0,A_9_irreversible,9
hash_k34_s1206,0.059964726631393295,irreversible,A,3.5234439856557835,1.0,1.0,16.676470588235293,34,567,9,0.0,1.0,A_9_irreversible,9
