rule,ic_family,T,ring_size,localized_component_lifetime_max,recurrence_up_to_shift,translation_velocity_estimate,motif_type
73,single_seed,512,512,516.0,0.640625,-0.0234375,emitter
73,bernoulli_025,1024,256,1028.0,0.7930755615234375,0.0,emitter
73,periodic_perturbation,256,256,260.0,0.8359375,-0.03515625,travelling_identity
73,short_random_block,256,512,260.0,0.6702728271484375,-0.01123046875,emitter
73,single_seed,1024,256,1028.0,0.6484375,-0.00390625,emitter
73,periodic_perturbation,256,512,260.0,0.8245620727539062,-0.0625,travelling_identity
73,short_random_block,512,256,516.0,0.6779327392578125,-0.0062255859375,emitter
109,g0_candidate_window_seed,1024,512,1028.0,0.65643310546875,-0.000823974609375,emitter
73,periodic_perturbation,512,256,516.0,0.8291015625,-0.02783203125,emitter
73,two_cell_seed,512,512,516.0,0.7421875,-0.015625,global_periodic_artifact
73,g0_motif_seed,256,256,260.0,0.59765625,-0.0625,emitter
73,periodic_perturbation,512,512,516.0,0.841552734375,-0.03125,travelling_identity
73,two_cell_seed,1024,256,1028.0,0.7421875,-0.0078125,global_periodic_artifact
73,g0_candidate_window_seed,256,256,260.0,0.678985595703125,-0.00445556640625,emitter
73,bernoulli_050,1024,512,1028.0,0.8271026611328125,0.0,emitter
73,periodic_perturbation,1024,256,1028.0,0.846466064453125,-0.0102691650390625,emitter
73,g0_motif_seed,256,512,260.0,0.6328125,-0.03125,emitter
73,short_random_block,512,512,516.0,0.6826705932617188,-0.005615234375,emitter
73,g0_motif_seed,512,256,516.0,0.6171875,-0.015625,emitter
73,bernoulli_025,1024,512,1008.0,0.7955780029296875,0.0,emitter
73,short_random_block,1024,256,1028.0,0.6819610595703125,-0.0021820068359375,emitter
73,g0_candidate_window_seed,256,512,260.0,0.6766510009765625,-0.01068115234375,emitter
230,bernoulli_050,256,256,260.0,0.735748291015625,-0.0333251953125,emitter
73,single_seed,1024,512,1028.0,0.68359375,-0.00390625,emitter
73,periodic_perturbation,1024,512,1028.0,0.8301467895507812,-0.0099945068359375,emitter
73,g0_candidate_window_seed,512,256,516.0,0.6789398193359375,-0.00201416015625,emitter
73,g0_motif_seed,512,512,516.0,0.64453125,-0.03125,emitter
230,bernoulli_050,256,512,260.0,0.726043701171875,-0.002471923828125,emitter
230,bernoulli_025,256,256,260.0,0.722015380859375,-0.03338623046875,emitter
230,bernoulli_050,512,256,516.0,1.0,0.0,emitter
73,g0_motif_seed,1024,256,1028.0,0.66796875,-0.015625,emitter
73,two_cell_seed,1024,512,1028.0,0.7421875,-0.0078125,global_periodic_artifact
230,single_seed,256,256,260.0,0.625,-0.0625,emitter
73,g0_candidate_window_seed,512,512,516.0,0.6883773803710938,-0.002044677734375,emitter
230,bernoulli_025,256,512,260.0,0.7100830078125,-0.0030517578125,emitter
230,bernoulli_025,512,256,516.0,1.0,0.0,emitter
73,short_random_block,1024,512,1028.0,0.6737899780273438,-0.0017242431640625,emitter
73,g0_candidate_window_seed,1024,256,1028.0,0.6780242919921875,-0.001007080078125,emitter
230,bernoulli_050,512,512,516.0,0.7226104736328125,-0.01690673828125,emitter
230,single_seed,256,512,260.0,0.8125,0.0,emitter
230,two_cell_seed,256,256,260.0,0.62890625,-0.0625,emitter
230,single_seed,512,256,516.0,1.0,0.0,emitter
230,bernoulli_050,1024,256,1028.0,1.0,0.0,emitter
230,two_cell_seed,256,512,260.0,0.8125,0.0,emitter
230,short_random_block,256,256,260.0,0.6634521484375,-0.0625,emitter
73,g0_motif_seed,1024,512,1028.0,0.6796875,0.0,emitter
230,bernoulli_025,512,512,516.0,0.7075347900390625,-0.0158843994140625,emitter
230,two_cell_seed,512,256,516.0,1.0,0.0,emitter
230,bernoulli_025,1024,256,1028.0,1.0,0.0,emitter
230,single_seed,512,512,516.0,0.625,-0.03125,emitter
230,short_random_block,256,512,260.0,0.8125,0.0,emitter
230,periodic_perturbation,256,256,260.0,0.984375,-0.0625,domain_wall
230,periodic_perturbation,256,512,260.0,0.9921875,-0.0625,global_periodic_artifact
230,single_seed,1024,256,1028.0,1.0,0.0,emitter
230,short_random_block,512,256,516.0,1.0,-0.015869140625,emitter
73,g0_candidate_window_seed,1024,512,1028.0,0.6728668212890625,0.0008087158203125,emitter
230,two_cell_seed,512,512,516.0,0.626953125,-0.03125,emitter
230,periodic_perturbation,512,256,516.0,1.0,0.0,domain_wall
230,g0_motif_seed,256,256,260.0,0.7109375,-0.0625,emitter
230,bernoulli_050,1024,512,1028.0,1.0,0.0,emitter
230,two_cell_seed,1024,256,1028.0,1.0,0.0,emitter
230,short_random_block,512,512,516.0,0.6469802856445312,-0.0311279296875,emitter
230,periodic_perturbation,512,512,516.0,0.9921875,-0.03125,global_periodic_artifact
230,g0_motif_seed,256,512,260.0,0.8125,0.0,emitter
230,g0_candidate_window_seed,256,256,260.0,0.748291015625,-0.0625,emitter
230,bernoulli_025,1024,512,1028.0,1.0,0.0,emitter
230,g0_motif_seed,512,256,516.0,1.0,0.0,emitter
230,periodic_perturbation,1024,256,1028.0,1.0,0.0,domain_wall
230,short_random_block,1024,256,1028.0,1.0,-0.00732421875,emitter
230,g0_candidate_window_seed,256,512,260.0,0.8125,0.0,emitter
188,bernoulli_050,256,256,260.0,0.733917236328125,-0.0347900390625,emitter
230,single_seed,1024,512,1028.0,1.0,0.0,global_periodic_artifact
230,g0_motif_seed,512,512,516.0,0.66796875,-0.03125,global_periodic_artifact
230,g0_candidate_window_seed,512,256,516.0,1.0,-0.0162353515625,emitter
230,two_cell_seed,1024,512,1028.0,1.0,0.0,global_periodic_artifact
188,bernoulli_025,256,256,260.0,0.721588134765625,-0.034637451171875,emitter
188,bernoulli_050,256,512,260.0,0.725616455078125,-0.004608154296875,emitter
230,periodic_perturbation,1024,512,1028.0,1.0,0.0,global_periodic_artifact
230,g0_motif_seed,1024,256,1028.0,1.0,0.0,emitter
188,bernoulli_050,512,256,516.0,1.0,0.0,emitter
230,g0_candidate_window_seed,512,512,516.0,0.6864242553710938,-0.03125,global_periodic_artifact
188,single_seed,256,256,260.0,0.625,-0.0625,emitter
230,short_random_block,1024,512,1028.0,1.0,-0.00732421875,global_periodic_artifact
188,bernoulli_025,256,512,260.0,0.7104949951171875,-0.008819580078125,emitter
