parent_rule_id,rule_id,control_type,stable_product_rate,phase_sensitive_outcome_rate,new_motif_rate,emission_rate,interaction_outcome_diversity,dominant_interaction_outcome
q3r1_s7_0004,q3r1_s7_0004_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,-0.0,collapse
q3r1_s7_0004,q3r1_s7_0004_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s7_0004,q3r1_s7_0004_symbol_phase_only,symbol_phase_only,0.5,1.0,0.5,0.0,1.0,pass_through
q3r1_s7_0004,q3r1_s7_0004_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q3r1_s7_0005,q3r1_s7_0005,raw,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s7_0005,q3r1_s7_0005_center_only_projection,center_only_projection,0.5,1.0,0.5,0.0,1.0,pass_through
q3r1_s7_0005,q3r1_s7_0005_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s7_0005,q3r1_s7_0005_symbol_phase_only,symbol_phase_only,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q3r1_s7_0005,q3r1_s7_0005_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s7_0008,q3r1_s7_0008,raw,0.0,1.0,0.0,0.8333333333333334,0.6500224216483541,emission
q3r1_s7_0008,q3r1_s7_0008_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,-0.0,collapse
q3r1_s7_0008,q3r1_s7_0008_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,1.0,0.0,0.8333333333333334,0.6500224216483541,emission
q3r1_s7_0008,q3r1_s7_0008_symbol_phase_only,symbol_phase_only,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q3r1_s7_0008,q3r1_s7_0008_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q3r1_s7_0011,q3r1_s7_0011,raw,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s7_0011,q3r1_s7_0011_center_only_projection,center_only_projection,0.5,1.0,0.5,0.0,1.0,collapse
q3r1_s7_0011,q3r1_s7_0011_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s7_0011,q3r1_s7_0011_symbol_phase_only,symbol_phase_only,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q3r1_s7_0011,q3r1_s7_0011_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q3r1_s7_0012,q3r1_s7_0012,raw,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s7_0012,q3r1_s7_0012_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,-0.0,collapse
q3r1_s7_0012,q3r1_s7_0012_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s7_0012,q3r1_s7_0012_symbol_phase_only,symbol_phase_only,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
